a,b,c,d,e,f,g,h,i,j,k
26.7196,16.2683,16.2722,4.481,2.5362,0.0001,1.9213,0.2074,0.0092,0,0
26.7672,16.2751,16.279,4.605,2.5354,0.0001,1.791,0.1941,0.0099,0,0
26.9799,16.2837,16.2876,4.719,2.5375,0,1.7747,0.1944,0.0098,0,0
27.0155,16.2907,16.2946,4.821,2.5379,0.0004,1.87,0.1946,0.0095,0.0001,0
26.7882,16.3008,16.3047,4.903,2.5404,0,1.8953,0.2058,0.0089,0.0002,0
26.4074,16.3123,16.3163,4.953,2.5435,0.0002,1.9447,0.2054,0.0114,0.0002,0
26.6143,16.309,16.3129,4.966,2.5476,0.0006,1.8523,0.2055,0.0116,0.0005,0
26.9558,16.3135,16.3174,4.94,2.5503,0,1.9329,0.2052,0.0098,0.0008,0
27.2323,16.3238,16.3277,4.874,2.5559,0.0001,1.8383,0.1991,0.0098,0.0003,0
26.8808,16.3321,16.336,4.775,2.5637,0.0002,1.8863,0.1989,0.01,0.0003,0
26.5094,16.3283,16.3322,4.672,2.5701,0.0001,1.8627,0.1987,0.0099,0.0005,0
26.3095,16.3118,16.3157,4.576,2.5777,0,1.7899,0.1966,0.0104,0.0002,0
26.2632,16.2935,16.2974,4.5,2.5843,0,1.9339,0.1965,0.01,0.0003,0
26.2562,16.2796,16.2835,4.448,2.59,0,1.8279,0.1971,0.0092,0.0003,0
26.2619,16.2695,16.2734,4.42,2.5964,0.0005,1.875,0.2103,0.01,0,0
26.2706,16.2614,16.2653,4.416,2.6015,0.0002,1.9174,0.2104,0.0103,0.0007,0
26.2975,16.2557,16.2596,4.432,2.6064,0,2.013,0.2103,0.0108,0.0001,0
26.2827,16.2511,16.255,4.449,2.61,0,1.9736,0.2103,0.0103,0.0007,0
26.449,16.2473,16.2512,4.464,2.6104,0.0001,2.1144,0.2052,0.0101,0.0004,0
26.7223,16.2474,16.2513,4.48,2.6096,0,1.8779,0.2049,0.0105,0.0007,0
26.7806,16.2488,16.2527,4.504,2.6078,0,1.9116,0.2048,0.0093,0.0007,0
26.8086,16.2422,16.2461,4.528,2.6033,0,2.0591,0.1958,0.0093,0,0
26.7442,16.2307,16.2346,4.55,2.6004,0,2.0278,0.1955,0.0108,0.0005,0
26.7195,16.2223,16.2262,4.582,2.5961,0.0006,2.1312,0.1955,0.0096,0.0006,0
26.6295,16.2189,16.2228,4.618,2.5933,0.0002,2.0982,0.1955,0.0087,0,0
26.4627,16.2177,16.2216,4.651,2.592,0.0002,2.1408,0.1871,0.0101,0.0002,0
26.3736,16.2149,16.2188,4.69,2.5904,0.0002,2.1183,0.1867,0.0092,0.001,0
26.217,16.2117,16.2156,4.727,2.5903,0.0004,2.0841,0.1871,0.0093,0.0002,0
26.0349,16.2069,16.2108,4.757,2.5906,0,2.0288,0.1688,0.0098,0.0002,0
25.8981,16.1984,16.2023,4.766,2.5906,0.0006,2.121,0.1694,0.0092,0.0003,0
25.9292,16.1882,16.1921,4.76,2.5904,0.0011,2.0761,0.1689,0.0092,0,0
25.9803,16.1835,16.1874,4.724,2.5891,0.0007,2.1122,0.1856,0.0089,0.0003,0
26.116,16.1841,16.188,4.661,2.5887,0,2.1853,0.1848,0.009,0,0
26.0123,16.1898,16.1937,4.584,2.5884,0,2.1878,0.1861,0.0089,0.0003,0
25.8537,16.1919,16.1958,4.483,2.5876,0.0011,2.1191,0.1862,0.0101,0.0001,0
25.7273,16.1865,16.1904,4.38,2.5861,0.0003,2.0643,0.1894,0.0095,0.0002,0
25.6841,16.1738,16.1777,4.281,2.5831,0.0003,2.0085,0.1895,0.0112,0,0
25.6778,16.1571,16.161,4.202,2.5805,0,2.0321,0.1898,0.0106,0,0
25.7032,16.1427,16.1466,4.15,2.576,0,1.882,0.1877,0.011,0.0003,0
25.4596,16.1332,16.137,4.145,2.5717,0.0002,1.9875,0.188,0.0095,0.0006,0
25.2598,16.1283,16.1322,4.187,2.5681,0,2.0187,0.1879,0.0098,0.0005,0
24.6337,16.1266,16.1304,4.276,2.5651,0.0001,2.0746,0.1877,0.0089,0.0002,0
24.4006,16.1253,16.1292,4.403,2.5621,0.0004,2.1546,0.1605,0.0096,0.0002,0
25.0344,16.1221,16.126,4.547,2.557,0,1.9998,0.1609,0.0085,0.0006,0
24.9135,16.1186,16.1224,4.69,2.5537,0,1.9951,0.1607,0.0094,0,0
24.7368,16.1158,16.1197,4.807,2.5498,0.0003,2.124,0.1717,0.0098,0.0002,0
25.3127,16.1126,16.1165,4.899,2.5453,0.0006,2.014,0.1714,0.0087,0.0002,0
25.6464,16.1061,16.1099,4.938,2.5404,0.0013,2.2375,0.1713,0.0097,0,0
25.7073,16.1008,16.1046,4.923,2.5327,0.0002,2.1536,0.1693,0.0099,0,0
25.552,16.0972,16.101,4.855,2.5244,0.0006,2.0705,0.1696,0.0092,0.0005,0
25.4501,16.0943,16.0981,4.746,2.5154,0.0001,2.1331,0.1689,0.0095,0,0
25.3829,16.0952,16.0991,4.61,2.5072,0.0004,1.9405,0.1695,0.0082,0,0
25.2002,16.0977,16.1016,4.477,2.4965,0,2.2211,0.1736,0.0088,0.0001,0
25.0975,16.1009,16.1047,4.365,2.4942,0.0003,2.1952,0.1735,0.0093,0.0009,0
24.9152,16.1045,16.1084,4.284,2.4904,0.0001,2.2103,0.1736,0.0085,0.0008,0
24.5965,16.1093,16.1131,4.24,2.4875,0.0002,2.0685,0.1616,0.0083,0.0006,0
24.2466,16.1133,16.1171,4.229,2.4855,0.0008,2.2718,0.1616,0.0079,0.0002,0
